ui_charamake_parts.text was created: 8/8/2021 10:40:22 PM
Filesize is: 1681376 bytes

arm
Group 0
No00000 - なし
No300010 - ディガーン・アーム
No300030 - ザンナ・アーム
No300050 - ギャレスト・アーム
No300070 - ヴェテルノ・アーム
No300090 - ディガーン・アーム/B
No300120 - ザンナ・アーム/B
No40001 - ディスタ・アーム
No400010 - ディアーレ・アーム
No40002 - ロニア・アーム
No400020 - コルセロ・アーム
No40003 - ファウマ・アーム
No40004 - ジョーカ・アーム
No40005 - マギウス・アーム
No400050 - スヴェーラ・アーム
No40006 - シェリフ・アーム
No40007 - コロッサス・アーム
No400070 - シャノフ・アーム
No40008 - バルドル・アーム
No40009 - アングリフ・アーム
No40010 - メルダー・アーム
No40020 - ディスタ・アームＣＶ
No40023 - ディスタ・アームＧＶ
No40030 - ロニア・アームＣＶ
No40033 - レギア・アーム
No40034 - レギア・アームＣＶ
No40035 - ロニア・アームＧＶ
No40040 - ファウマ・アームＣＶ
No40043 - ファウマ・アームＧＶ
No40050 - ジョーカ・アームＣＶ
No40053 - ジョーカ・アームＧＶ
No40060 - マギウス・アームＣＶ
No40062 - マギウス・アームＧＶ
No40070 - シェリフ・アームＣＶ
No40080 - コロッサス・アームＣＶ
No40083 - コロッサス・アームＧＶ
No40090 - バルドル・アームＣＶ
No40093 - バルドル・アームＧＶ
No40100 - アングリフ・アームＣＶ
No40104 - アングリフ・アームＧＶ
No40110 - メルダー・アームＣＶ
No40120 - フィルフ・アーム
No40121 - フィルフ・アームＣＶ
No40123 - フィルフ・アームＧＶ
No40130 - ゴウボイド・アーム
No40131 - ゴウボイド・アームＣＶ
No40133 - ゴウボイド・アームＧＶ
No40140 - アラオ・アーム
No40141 - アラオ・アームＣＶ
No40143 - アラオ・アームＧＶ
No40150 - ベルガ・アーム
No40151 - ベルガ・アームＣＶ
No40160 - Ｏフレーム・アーム
No40161 - Ｏフレーム・アームＣＶ
No40163 - Ｏフレーム・アームＧＶ
No40170 - ヒュリオン・アーム
No40171 - ヒュリオン・アームＣＶ
No40173 - ヒュリオン・アームＧＶ
No40180 - ディヴァリースＦ・アーム
No40181 - ディヴァリースＦ・アームＣＶ
No40190 - ドレーク・アーム
No40191 - ドレーク・アームＣＶ
No40193 - ドレーク・アームＧＶ
No40200 - ジャスティスＡ・アーム
No40201 - ジャスティスＡ・アームＣＶ
No40210 - ディバインＫ・アーム
No40211 - ディバインＫ・アームＣＶ
No40230 - エヴァレット・アーム
No40231 - エヴァレット・アームＣＶ
No40233 - エヴァレット・アームＧＶ
No40240 - ベイバレル・アーム
No40241 - ベイバレル・アームＣＶ
No40250 - グアルディ・アーム
No40251 - グアルディ・アームＣＶ
No40260 - ライザーＦ・アーム
No40261 - ライザーＦ・アームＣＶ
No40263 - ライザーＦ・アームＧＶ
No40270 - ネメジスト・アーム
No40271 - ネメジスト・アームＣＶ
No40273 - ネメジスト・アームＧＶ
No40280 - グルマイカ・アーム
No40281 - グルマイカ・アームＣＶ
No40290 - グラニーダ・アーム
No40291 - グラニーダ・アームＣＶ
No40293 - グラニーダ・アームＧＶ
No40300 - サイハジン・アーム
No40301 - サイハジン・アームＣＶ
No40303 - サイハジン・アームＧＶ
No40310 - レクトアギル・アーム
No40311 - レクトアギル・アームＣＶ
No40313 - レクトアギル・アームＧＶ
No40320 - フリーヴァ・アーム
No40321 - フリーヴァ・アームＣＶ
No40323 - フリーヴァ・アームＧＶ
No40330 - ギャレオス・アーム
No40331 - ギャレオス・アームＣＶ
No40340 - キオウガイ・アーム
No40341 - キオウガイ・アームＣＶ
No40343 - キオウガイ・アームＧＶ
No40350 - コンガラ・アーム
No40360 - セイタカ・アーム
No40370 - バンテスタ・アーム
No40371 - バンテスタ・アームＣＶ
No40373 - バンテスタ・アームＧＶ
No40380 - ヴァリエス・アーム
No40381 - ヴァリエス・アームＣＶ
No40383 - ヴァリエス・アームＧＶ
No40390 - センガミ・アーム
No40391 - センガミ・アームＣＶ
No40393 - センガミ・アームＧＶ
No40400 - ラシオス・アーム
No40401 - ラシオス・アームＣＶ
No40403 - ラシオス・アームＧＶ
No40410 - アコーディ・アーム
No40411 - アコーディ・アームＣＶ
No40413 - アコーディ・アームＧＶ
No40420 - アルベリカ・アーム
No40421 - アルベリカ・アームＣＶ
No40430 - ギガンテ・アーム
No40431 - ギガンテ・アームＣＶ
No40433 - ギガンテ・アームＧＶ
No40440 - ヴォグルス・アーム
No40441 - ヴォグルス・アームＣＶ
No40450 - ガルファ・アーム
No40451 - ガルファ・アームＣＶ
No40460 - ドラクレス・アーム
No40461 - ドラクレス・アームＣＶ
No40470 - グロード・アーム
No40471 - グロード・アームＣＶ
No40480 - ディグゥ・アーム
No40481 - ディグゥ・アームＣＶ
No40490 - ローロック・アーム
No40491 - ローロック・アームＣＶ
No40493 - ローロック・アームＧＶ
No40500 - ゴルンレオ・アーム
No40501 - ゴルンレオ・アームＣＶ
No40510 - ヴォーダム・アーム
No40511 - ヴォーダム・アームＣＶ
No40520 - ダルモルス・アーム
No40521 - ダルモルス・アームＣＶ
No40530 - スティレット・アーム
No40540 - シュバル・アーム
No40541 - シュバル・アームＣＶ
No40560 - トレイオン・アーム
No40561 - トレイオン・アームＣＶ
No40570 - ハイロウ・アーム
No40571 - ハイロウ・アームＣＶ
No40590 - ハヴィック・アーム
No40591 - ハヴィック・アームＣＶ
No40600 - アグリ・アーム
No40610 - メイガス・アーム
No40611 - メイガス・アームＣＶ
No40620 - ハーゼン・アーム
No40621 - ハーゼン・アームＣＶ
No40630 - クリスト・アーム
No40631 - クリスト・アームＣＶ
No40640 - 輝星・空式・アーム
No40650 - ティタンガム・アーム
No40651 - ティタンガム・アームＣＶ
No40660 - 轟雷・アーム
No40670 - バーゼラルド・アーム
No40700 - デモードス・アーム
No40701 - デモードス・アームＣＶ
No40710 - ＰＳＺオギ・アーム
No40720 - クリミナル・アーム
No40721 - クリミナル・アームＣＶ
No40723 - クリミナル・アームＧＶ
No40730 - 不知火・アーム
No40740 - 武御雷・アーム
No40750 - ライナー・アーム
No40751 - ライナー・アームＣＶ
No40760 - エグザギア・アーム
No40761 - エグザギア・アームＣＶ
No40770 - マグナレギア・アーム
No40780 - ヴァローナ・アーム
No40790 - ビオール・アーム
